Unnamed: 0,duration,station_A_id,station_A_name,station_B_id,station_B_name,bike_id,user_type,user_birth_year,user_gender,tire_sizes,ride_date
0,12 minutes,81,Berry St at 4th St,323,Broadway at Kearny,5480,2,1959,Male,27,2022-09-13
1,24 minutes,3,Powell St BART Station (Market St at 4th St),118,Eureka Valley Recreation Center,5193,2,1965,Male,26,2022-06-25
2,8 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),23,The Embarcadero at Steuart St,3652,3,1993,Male,27,2022-09-27
3,4 minutes,16,Steuart St at Market St,28,The Embarcadero at Bryant St,1883,1,1979,Male,27,2022-08-20
4,11 minutes,22,Howard St at Beale St,350,8th St at Brannan St,4626,2,1994,Male,27,2022-10-04
5,10 minutes,22,Howard St at Beale St,6,The Embarcadero at Sansome St,3279,2,1979,Male,27,2022-02-22
6,16 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),107,17th St at Dolores St,1035,2,1981,Male,29,2022-07-26
7,9 minutes,30,San Francisco Caltrain (Townsend St at 4th St),97,14th St at Mission St,5286,2,1991,Male,29,2022-03-08
8,21 minutes,81,Berry St at 4th St,16,Steuart St at Market St,2124,1,1982,Female,26,2022-09-17
9,5 minutes,30,San Francisco Caltrain (Townsend St at 4th St),62,Victoria Manalo Draves Park,333,1,1994,Male,27,2022-03-29
10,19 minutes,81,Berry St at 4th St,16,Steuart St at Market St,1883,2,1983,Male,29,2022-04-25
11,6 minutes,3,Powell St BART Station (Market St at 4th St),26,1st St at Folsom St,5331,1,1990,Male,26,2022-07-11
12,7 minutes,3,Powell St BART Station (Market St at 4th St),27,Beale St at Harrison St,1863,3,1998,Male,26,2022-06-24
13,187 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),355,23rd St at Tennessee St,674,2,1987,Female,29,2022-04-07
14,13 minutes,21,Montgomery St BART Station (Market St at 2nd St),74,Laguna St at Hayes St,5487,2,1997,Male,29,2022-06-25
15,4 minutes,3,Powell St BART Station (Market St at 4th St),321,5th St at Folsom,1606,2,1995,Male,29,2022-05-13
16,32 minutes,22,Howard St at Beale St,122,19th St at Mission St,3661,3,1990,Male,29,2022-07-06
17,5 minutes,22,Howard St at Beale St,11,Davis St at Jackson St,4969,3,1964,Male,26,2022-11-27
18,16 minutes,16,Steuart St at Market St,42,San Francisco City Hall (Polk St at Grove St),5000,2,2000,Female,27,2022-02-10
19,17 minutes,16,Steuart St at Market St,42,San Francisco City Hall (Polk St at Grove St),5230,2,2000,Male,27,2022-07-24
20,16 minutes,16,Steuart St at Market St,58,Market St at 10th St,2033,3,1998,Male,29,2022-11-24
21,11 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),364,China Basin St at 3rd St,5055,3,1986,Male,29,2022-02-28
22,10 minutes,5,Powell St BART Station (Market St at 5th St),356,Valencia St at Clinton Park,2165,2,1982,Male,27,2022-10-02
23,3 minutes,16,Steuart St at Market St,20,Mechanics Monument Plaza (Market St at Bush St),2403,2,1992,Male,27,2022-09-08
24,11 minutes,3,Powell St BART Station (Market St at 4th St),109,17th St at Valencia St,4980,1,1980,Male,27,2022-05-10
25,3 minutes,81,Berry St at 4th St,93,4th St at Mission Bay Blvd S,2409,3,1990,Female,29,2022-09-23
26,12 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),370,Jones St at Post St,2852,3,1994,Male,26,2022-10-19
27,7 minutes,3,Powell St BART Station (Market St at 4th St),61,Howard St at 8th St,2459,2,1977,Male,26,2022-07-31
28,5 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),6,The Embarcadero at Sansome St,5193,3,1990,Male,26,2022-03-01
29,6 minutes,81,Berry St at 4th St,116,Mississippi St at 17th St,903,1,1990,Male,29,2022-01-12
30,6 minutes,21,Montgomery St BART Station (Market St at 2nd St),323,Broadway at Kearny,5218,1,1988,Female,26,2022-10-04
31,9 minutes,5,Powell St BART Station (Market St at 5th St),15,San Francisco Ferry Building (Harry Bridges Plaza),2177,3,1990,Male,26,2022-12-13
32,12 minutes,3,Powell St BART Station (Market St at 4th St),102,Irwin St at 8th St,5130,3,1980,Male,29,2022-06-12
33,16 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),76,McCoppin St at Valencia St,3397,3,1979,Male,26,2022-08-02
34,11 minutes,81,Berry St at 4th St,356,Valencia St at Clinton Park,5504,2,1994,Male,26,2022-11-03
35,11 minutes,3,Powell St BART Station (Market St at 4th St),74,Laguna St at Hayes St,531,2,1988,Male,26,2022-11-05
36,4 minutes,3,Powell St BART Station (Market St at 4th St),321,5th St at Folsom,3385,2,1990,Female,29,2022-01-05
37,5 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),50,2nd St at Townsend St,2568,2,1989,Male,27,2022-06-24
38,6 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),343,Bryant St at 2nd St,2804,1,1966,Male,29,2022-07-09
39,7 minutes,30,San Francisco Caltrain (Townsend St at 4th St),130,22nd St Caltrain Station,5213,1,1986,Male,29,2022-05-27
40,4 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),321,5th St at Folsom,1575,1,1988,Male,26,2022-02-22
41,12 minutes,3,Powell St BART Station (Market St at 4th St),6,The Embarcadero at Sansome St,2899,1,1967,Female,26,2022-10-20
42,3 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),50,2nd St at Townsend St,1894,2,1977,Male,26,2022-05-20
43,3 minutes,30,San Francisco Caltrain (Townsend St at 4th St),50,2nd St at Townsend St,2960,1,1977,Female,27,2022-11-29
44,2 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),80,Townsend St at 5th St,2193,2,1996,Female,29,2022-02-19
45,1 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),64,5th St at Brannan St,2436,2,1990,Female,27,2022-05-18
46,7 minutes,5,Powell St BART Station (Market St at 5th St),41,Golden Gate Ave at Polk St,3617,2,1989,Male,29,2022-02-22
47,8 minutes,3,Powell St BART Station (Market St at 4th St),58,Market St at 10th St,626,1,1994,Male,27,2022-10-15
48,15 minutes,5,Powell St BART Station (Market St at 5th St),4,Cyril Magnin St at Ellis St,4719,1,1973,Male,26,2022-11-28
49,9 minutes,21,Montgomery St BART Station (Market St at 2nd St),81,Berry St at 4th St,2125,3,1991,Male,27,2022-12-25
50,11 minutes,21,Montgomery St BART Station (Market St at 2nd St),78,Folsom St at 9th St,5374,2,1999,Female,26,2022-09-22
51,16 minutes,22,Howard St at Beale St,350,8th St at Brannan St,1310,2,1987,Male,26,2022-04-15
52,13 minutes,21,Montgomery St BART Station (Market St at 2nd St),78,Folsom St at 9th St,2531,2,1999,Female,29,2022-02-21
53,14 minutes,21,Montgomery St BART Station (Market St at 2nd St),78,Folsom St at 9th St,1502,2,1998,Female,29,2022-05-29
54,12 minutes,21,Montgomery St BART Station (Market St at 2nd St),78,Folsom St at 9th St,1202,1,1999,Male,27,2022-06-19
55,11 minutes,21,Montgomery St BART Station (Market St at 2nd St),78,Folsom St at 9th St,377,2,1999,Male,29,2022-01-05
56,5 minutes,21,Montgomery St BART Station (Market St at 2nd St),27,Beale St at Harrison St,3711,3,1985,Male,26,2022-03-26
57,11 minutes,21,Montgomery St BART Station (Market St at 2nd St),61,Howard St at 8th St,2918,2,1999,Female,26,2022-12-11
58,10 minutes,81,Berry St at 4th St,6,The Embarcadero at Sansome St,5233,1,1987,Male,27,2022-10-25
59,10 minutes,21,Montgomery St BART Station (Market St at 2nd St),61,Howard St at 8th St,507,2,1998,Male,26,2022-02-09
60,10 minutes,21,Montgomery St BART Station (Market St at 2nd St),61,Howard St at 8th St,608,1,1999,Male,27,2022-10-12
61,8 minutes,21,Montgomery St BART Station (Market St at 2nd St),61,Howard St at 8th St,157,1,1999,Male,27,2022-05-14
62,4 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),28,The Embarcadero at Bryant St,4602,2,1991,Female,29,2022-10-24
63,5 minutes,21,Montgomery St BART Station (Market St at 2nd St),9,Broadway at Battery St,181,2,1967,Male,26,2022-12-05
64,10 minutes,21,Montgomery St BART Station (Market St at 2nd St),58,Market St at 10th St,3715,2,1999,Male,29,2022-08-01
65,10 minutes,16,Steuart St at Market St,93,4th St at Mission Bay Blvd S,5392,2,1986,Male,27,2022-08-28
66,5 minutes,30,San Francisco Caltrain (Townsend St at 4th St),28,The Embarcadero at Bryant St,1012,1,1991,Female,27,2024-06-07
67,19 minutes,5,Powell St BART Station (Market St at 5th St),70,Central Ave at Fell St,465,2,1989,Male,27,2022-01-16
68,19 minutes,3,Powell St BART Station (Market St at 4th St),55,Webster St at Grove St,3009,2,1992,Female,29,2022-06-19
69,20 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),377,Fell St at Stanyan St,5105,1,1992,Male,26,2022-03-06
70,38 minutes,21,Montgomery St BART Station (Market St at 2nd St),58,Market St at 10th St,5271,2,1988,Male,27,2022-12-17
71,9 minutes,16,Steuart St at Market St,93,4th St at Mission Bay Blvd S,5125,1,1988,Male,29,2022-05-12
72,13 minutes,5,Powell St BART Station (Market St at 5th St),370,Jones St at Post St,5373,2,1987,Male,27,2022-01-01
73,20 minutes,3,Powell St BART Station (Market St at 4th St),6,The Embarcadero at Sansome St,443,1,1985,Female,27,2022-08-08
74,5 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),90,Townsend St at 7th St,1920,2,1990,Male,27,2022-09-29
